part_number,description,category,manufacturer,supplier,industry,lifecycle,unit_price_usd,quantity,total_cost_usd,lead_time_wks,last_updated
NXP-7821-D,Sensor - NXP series,Sensor,NXP,Avnet,Consumer Electronics,Obsolete,103.397,2831,292715.57,69,2025-06-16
TI-7761-D,Memory - ON  series,Memory,ON Semiconductor,Future Electronics,Renewable Energy,Obsolete,74.947,1856,139101.48,45,2025-05-28
IFX-7079-A,Sensor - NXP series,Sensor,NXP,Future Electronics,Medical,Active,21.712,2715,58948.08,45,2026-04-15
TI-4082-E,Microcontroller - Inf series,Microcontroller,Infineon,PT Solutions,Medical,Active,32.09,4965,159326.85,42,2026-05-05
ST-4113-A,Connectivity - Vis series,Connectivity,Vishay,PT Solutions,Financial Services,NRND,17.795,2737,48704.92,23,2026-05-18
IFX-8639-E,Connectivity - Inf series,Connectivity,Infineon,PT Solutions,Consumer Electronics,NRND,77.79,4532,352544.28,24,2026-01-01
MCH-8692-C,Analog IC - Ren series,Analog IC,Renesas,Avnet,Consumer Electronics,Active,43.614,4083,178075.96,33,2026-04-05
TI-5272-E,Sensor - Mic series,Sensor,Microchip,Future Electronics,Renewable Energy,Active,47.836,1822,87157.19,51,2026-03-12
ST-9180-E,Analog IC - ON  series,Analog IC,ON Semiconductor,PT Solutions,Medical,Active,16.716,1894,31660.1,28,2025-08-07
MCH-6770-B,Analog IC - Mic series,Analog IC,Microchip,Avnet,Medical,NRND,82.155,4028,330920.34,33,2026-02-28
REN-1554-A,Logic IC - Vis series,Logic IC,Vishay,PT Solutions,Automotive,Active,77.941,4451,346915.39,45,2026-04-25
ST-1149-B,Sensor - Tex series,Sensor,Texas Instruments,Future Electronics,Financial Services,Active,71.624,1905,136443.72,8,2025-05-28
TI-1274-E,Microcontroller - Mic series,Microcontroller,Microchip,PT Solutions,Consumer Electronics,Obsolete,83.47,3968,331209.51,67,2025-09-18
TI-9591-B,Analog IC - Vis series,Analog IC,Vishay,Avnet,Industrial Automation,Active,42.713,3537,151075.88,15,2026-04-01
IFX-8520-E,Analog IC - Vis series,Analog IC,Vishay,Avnet,Medical,Active,22.759,3261,74217.1,9,2025-11-15
IFX-7213-D,Analog IC - Inf series,Analog IC,Infineon,Future Electronics,Financial Services,EOL,239.267,670,160308.7,55,2025-06-27
REN-1697-B,Microcontroller - Tex series,Microcontroller,Texas Instruments,Avnet,Medical,EOL,50.561,4104,207501.87,42,2025-06-29
MCH-1539-B,Analog IC - ROH series,Analog IC,ROHM,Mouser,Automotive,Active,78.557,2306,181152.44,38,2025-08-10
MCH-9856-C,Memory - Inf series,Memory,Infineon,Digi-Key,Medical,EOL,203.07,640,129964.78,43,2026-03-03
NXP-7499-C,Power Management - NXP series,Power Management,NXP,Arrow Electronics,Medical,Obsolete,164.319,2843,467158.51,17,2026-04-05
ST-7227-A,Logic IC - Ren series,Logic IC,Renesas,Future Electronics,Consumer Electronics,NRND,19.43,4540,88212.2,28,2025-10-16
ST-7383-C,Power Management - Inf series,Power Management,Infineon,Mouser,Automotive,Active,22.814,3122,71225.31,49,2025-07-05
TI-4070-D,Microcontroller - STM series,Microcontroller,STMicroelectronics,Digi-Key,Renewable Energy,Active,37.83,2219,83944.77,10,2026-03-19
REN-6315-D,Sensor - Vis series,Sensor,Vishay,Arrow Electronics,Consumer Electronics,Active,2.281,2909,6635.43,39,2026-04-08
REN-3778-D,Sensor - ON  series,Sensor,ON Semiconductor,Avnet,Industrial Automation,Active,61.625,4593,283043.62,19,2025-08-06
NXP-7899-C,Analog IC - Ren series,Analog IC,Renesas,Digi-Key,Automotive,Active,41.941,528,22144.85,14,2025-10-15
ST-8501-A,Analog IC - Mic series,Analog IC,Microchip,Avnet,Consumer Electronics,Active,61.29,4071,249511.59,42,2025-07-14
NXP-8055-E,Sensor - Tex series,Sensor,Texas Instruments,Avnet,Consumer Electronics,Active,71.545,3122,223363.49,25,2025-10-12
MCH-9044-E,Connectivity - Mic series,Connectivity,Microchip,Avnet,Consumer Electronics,NRND,26.74,3272,87493.28,24,2025-12-27
REN-3947-E,Analog IC - ON  series,Analog IC,ON Semiconductor,Arrow Electronics,Medical,NRND,31.058,4629,143767.48,16,2025-07-26
IFX-3280-C,Connectivity - ROH series,Connectivity,ROHM,Avnet,Consumer Electronics,NRND,67.813,576,39060.29,30,2025-06-15
IFX-9755-E,Sensor - NXP series,Sensor,NXP,PT Solutions,Financial Services,NRND,6.333,4908,31082.36,34,2025-07-31
TI-2791-B,Microcontroller - Vis series,Microcontroller,Vishay,PT Solutions,Medical,Active,59.654,4408,262954.83,42,2025-07-03
IFX-2735-A,Memory - Mic series,Memory,Microchip,Arrow Electronics,Consumer Electronics,EOL,162.379,4623,750678.14,63,2025-06-13
MCH-9199-B,Connectivity - Inf series,Connectivity,Infineon,Mouser,Automotive,NRND,31.831,3803,121053.29,47,2025-07-28
NXP-6110-C,Power Management - ROH series,Power Management,ROHM,Digi-Key,Industrial Automation,Active,35.387,713,25230.93,11,2026-03-14
IFX-6225-A,Logic IC - Vis series,Logic IC,Vishay,Mouser,Automotive,Active,40.5,3599,145759.5,50,2025-06-03
REN-3858-E,Microcontroller - STM series,Microcontroller,STMicroelectronics,Avnet,Consumer Electronics,Active,55.095,1356,74708.82,51,2026-01-21
ST-8080-D,Sensor - Vis series,Sensor,Vishay,Arrow Electronics,Medical,NRND,19.746,3328,65714.69,44,2026-02-20
REN-2667-E,Logic IC - Inf series,Logic IC,Infineon,Avnet,Consumer Electronics,Obsolete,73.61,46,3386.08,59,2026-02-05
NXP-7367-E,Connectivity - Mic series,Connectivity,Microchip,Digi-Key,Renewable Energy,NRND,9.73,4019,39104.87,37,2025-07-02
NXP-2388-B,Passive Component - STM series,Passive Component,STMicroelectronics,Mouser,Automotive,Active,71.877,1423,102280.97,47,2025-05-29
IFX-3258-E,Analog IC - Inf series,Analog IC,Infineon,Digi-Key,Financial Services,Active,15.6,1168,18220.8,36,2025-11-08
ST-6154-D,Logic IC - NXP series,Logic IC,NXP,Future Electronics,Automotive,EOL,124.492,1429,177898.5,51,2026-03-01
MCH-9109-D,Microcontroller - Mic series,Microcontroller,Microchip,PT Solutions,Financial Services,NRND,11.649,3155,36752.59,39,2025-09-09
NXP-1535-C,Logic IC - ON  series,Logic IC,ON Semiconductor,Avnet,Renewable Energy,NRND,14.258,4641,66171.38,5,2026-02-02
TI-2871-C,Memory - Ren series,Memory,Renesas,Future Electronics,Consumer Electronics,NRND,48.102,4067,195630.83,39,2025-09-06
NXP-1528-D,Microcontroller - Vis series,Microcontroller,Vishay,Mouser,Consumer Electronics,EOL,125.396,1800,225712.62,46,2026-04-03
MCH-6744-E,Logic IC - STM series,Logic IC,STMicroelectronics,PT Solutions,Financial Services,Active,65.94,1951,128648.94,17,2025-07-28
REN-5605-E,Memory - NXP series,Memory,NXP,Future Electronics,Industrial Automation,Active,69.159,496,34302.86,40,2025-11-27
ST-7743-A,Analog IC - Mic series,Analog IC,Microchip,Mouser,Medical,Active,48.704,4224,205725.7,47,2026-04-07
IFX-9019-B,Memory - NXP series,Memory,NXP,Future Electronics,Medical,Active,12.473,2648,33028.5,19,2025-06-13
MCH-5558-C,Sensor - Ren series,Sensor,Renesas,Digi-Key,Financial Services,NRND,38.447,772,29681.08,29,2025-09-04
REN-7516-B,Microcontroller - Mic series,Microcontroller,Microchip,Digi-Key,Industrial Automation,EOL,25.823,3765,97221.85,54,2025-06-19
ST-8951-C,Analog IC - ROH series,Analog IC,ROHM,PT Solutions,Automotive,Active,70.418,2776,195480.37,39,2025-08-03
IFX-8479-A,Power Management - Tex series,Power Management,Texas Instruments,Digi-Key,Industrial Automation,EOL,254.807,3774,961642.9,18,2026-03-23
NXP-5102-A,Analog IC - NXP series,Analog IC,NXP,Mouser,Medical,Active,74.332,2254,167544.33,9,2025-06-24
TI-2559-A,Microcontroller - NXP series,Microcontroller,NXP,Avnet,Financial Services,NRND,53.195,1928,102559.96,31,2025-06-24
IFX-3165-D,Memory - STM series,Memory,STMicroelectronics,Arrow Electronics,Industrial Automation,Obsolete,62.399,3655,228069.06,15,2026-05-21
IFX-3181-B,Power Management - ON  series,Power Management,ON Semiconductor,Arrow Electronics,Renewable Energy,EOL,253.679,855,216895.21,36,2025-11-18
IFX-8248-B,Memory - Tex series,Memory,Texas Instruments,Arrow Electronics,Automotive,NRND,29.883,1755,52444.67,44,2026-03-09
NXP-2380-B,Power Management - NXP series,Power Management,NXP,Future Electronics,Renewable Energy,Obsolete,215.839,2889,623560.18,46,2025-12-15
NXP-1894-B,Microcontroller - Ren series,Microcontroller,Renesas,Digi-Key,Financial Services,EOL,206.515,1693,349630.63,57,2025-07-19
NXP-6185-B,Connectivity - STM series,Connectivity,STMicroelectronics,Digi-Key,Renewable Energy,NRND,54.255,591,32064.71,37,2026-05-19
NXP-4534-A,Passive Component - ON  series,Passive Component,ON Semiconductor,Arrow Electronics,Financial Services,Obsolete,172.364,3868,666702.49,16,2026-05-17
NXP-2369-C,Analog IC - Vis series,Analog IC,Vishay,Arrow Electronics,Renewable Energy,EOL,151.815,3413,518144.46,43,2025-05-31
NXP-8167-B,Memory - Inf series,Memory,Infineon,Arrow Electronics,Industrial Automation,Obsolete,89.056,4814,428714.57,54,2025-06-27
MCH-3877-A,Sensor - STM series,Sensor,STMicroelectronics,Arrow Electronics,Medical,Active,38.564,4997,192704.31,7,2025-12-18
MCH-5247-B,Microcontroller - NXP series,Microcontroller,NXP,Mouser,Industrial Automation,Active,42.22,2850,120327.0,37,2025-09-03
TI-5308-E,Power Management - Ren series,Power Management,Renesas,PT Solutions,Automotive,Active,28.509,3527,100551.24,21,2025-08-30
TI-2889-B,Logic IC - ROH series,Logic IC,ROHM,PT Solutions,Renewable Energy,Obsolete,74.132,4102,304090.04,56,2026-03-01
ST-3932-A,Microcontroller - Tex series,Microcontroller,Texas Instruments,Future Electronics,Medical,Active,20.825,3874,80676.05,27,2025-11-10
REN-7108-A,Connectivity - ON  series,Connectivity,ON Semiconductor,Future Electronics,Medical,Active,21.14,2630,55598.2,21,2026-04-16
IFX-5625-C,Memory - Tex series,Memory,Texas Instruments,Mouser,Automotive,Active,68.379,386,26394.29,29,2026-04-20
MCH-4974-D,Logic IC - Vis series,Logic IC,Vishay,Mouser,Renewable Energy,Active,31.39,2398,75273.22,40,2025-12-21
ST-9872-C,Connectivity - ROH series,Connectivity,ROHM,PT Solutions,Medical,EOL,293.236,2018,591749.77,21,2026-05-22
TI-4361-E,Passive Component - Tex series,Passive Component,Texas Instruments,Avnet,Financial Services,Active,64.521,3092,199498.93,51,2025-12-19
REN-7767-C,Microcontroller - ROH series,Microcontroller,ROHM,Digi-Key,Medical,Active,60.505,772,46709.86,6,2026-01-27
MCH-3141-B,Power Management - STM series,Power Management,STMicroelectronics,Mouser,Consumer Electronics,Obsolete,33.26,3240,107760.89,29,2025-07-26
ST-3230-E,Sensor - Mic series,Sensor,Microchip,Arrow Electronics,Industrial Automation,EOL,154.162,2682,413461.94,34,2025-10-06
NXP-4401-D,Memory - STM series,Memory,STMicroelectronics,Mouser,Financial Services,NRND,39.641,3340,132400.94,11,2025-08-24
REN-1660-B,Power Management - Ren series,Power Management,Renesas,Mouser,Industrial Automation,Active,13.439,2502,33624.38,49,2025-06-03
NXP-3848-A,Connectivity - STM series,Connectivity,STMicroelectronics,Digi-Key,Financial Services,Active,33.711,411,13855.22,47,2025-12-23
TI-4641-B,Connectivity - Vis series,Connectivity,Vishay,Avnet,Financial Services,Active,39.301,1155,45392.65,11,2026-05-19
ST-2506-C,Power Management - Mic series,Power Management,Microchip,Arrow Electronics,Automotive,Obsolete,99.402,624,62026.65,27,2026-04-22
IFX-1483-D,Microcontroller - ROH series,Microcontroller,ROHM,PT Solutions,Financial Services,Active,78.555,3558,279498.69,50,2025-11-04
ST-1567-E,Passive Component - NXP series,Passive Component,NXP,Future Electronics,Renewable Energy,Active,77.21,2262,174649.02,21,2025-10-09
TI-5583-D,Analog IC - Inf series,Analog IC,Infineon,Avnet,Financial Services,NRND,35.049,4521,158456.53,34,2026-04-24
IFX-9921-D,Connectivity - Inf series,Connectivity,Infineon,Mouser,Renewable Energy,EOL,291.923,4463,1302851.44,24,2025-11-11
ST-1480-C,Passive Component - Vis series,Passive Component,Vishay,Arrow Electronics,Financial Services,NRND,23.024,223,5134.35,24,2025-07-24
REN-1916-B,Passive Component - Vis series,Passive Component,Vishay,Future Electronics,Financial Services,Obsolete,266.98,1317,351612.66,26,2026-01-19
NXP-1462-C,Memory - Mic series,Memory,Microchip,Future Electronics,Renewable Energy,Active,20.145,2615,52679.17,51,2025-06-02
TI-1920-B,Connectivity - NXP series,Connectivity,NXP,Future Electronics,Industrial Automation,NRND,46.103,1448,66757.14,35,2026-05-06
MCH-3907-C,Logic IC - Tex series,Logic IC,Texas Instruments,Arrow Electronics,Automotive,Active,28.231,1660,46863.46,12,2025-12-02
MCH-7481-E,Memory - NXP series,Memory,NXP,Arrow Electronics,Consumer Electronics,Active,71.959,2999,215805.04,8,2025-11-15
MCH-6198-B,Passive Component - Ren series,Passive Component,Renesas,PT Solutions,Renewable Energy,Active,82.949,3588,297621.01,44,2025-09-18
ST-3911-A,Connectivity - Mic series,Connectivity,Microchip,PT Solutions,Renewable Energy,EOL,167.02,1446,241510.21,45,2025-12-19
TI-9129-B,Microcontroller - ON  series,Microcontroller,ON Semiconductor,Mouser,Medical,Active,51.223,1819,93174.64,44,2025-08-09
MCH-6500-D,Connectivity - STM series,Connectivity,STMicroelectronics,Arrow Electronics,Consumer Electronics,Active,83.503,1385,115651.65,44,2026-04-10
